"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-04-26,79.9814399052698,89.5327526927152,119.728902418199,109.775003702287,80.08817,90.95701,83.47922,92.85417,126.41295,114.16458,122.5897,112.42197
1990-04-27,77.126053427192,87.9325109880027,121.757324301679,110.366362463144,77.2299,89.34381,81.54781,91.79111,130.96199,116.23029,125.46786,113.75429
1990-04-28,77.3439662868042,88.0550529940541,121.670295544268,110.370247896328,77.449,89.4804,81.68158,91.87737,130.63307,116.09627,125.30743,113.69431
1990-04-29,77.7221264757411,88.2684664736138,121.398376101114,110.300204272144,77.82857,89.70963,81.95422,92.0417,130.0355,115.84282,124.93431,113.53778
1990-04-30,78.2524095730055,88.5675241073291,120.981396812662,110.177469186421,78.36048,90.02633,82.34587,92.27269,129.18932,115.47813,124.3824,113.2998
1990-05-01,79.2145539897164,89.1096444681801,120.192098207198,109.928440735486,79.32486,90.5906,83.05752,92.68236,127.64101,114.79848,123.3508,112.84255
1990-05-02,80.2817000176649,89.7083174640026,118.631367683571,109.228483740234,80.39441,91.2118,84.16608,93.31137,125.96169,114.05572,121.74392,112.1195
1990-05-03,80.4358033153794,89.7940358803238,117.654282335034,108.66874926109,80.54966,91.31051,84.70252,93.61991,125.76272,113.97806,121.0114,111.79477
1990-05-04,80.5399437563711,89.8535334584495,114.839285395704,106.964887959494,80.65488,91.3807,86.12048,94.41476,125.6424,113.93587,119.02697,110.8907
1990-05-05,80.6749876729624,89.928179432858,114.184507789492,106.593010625709,80.79105,91.46841,86.51626,94.64304,125.47413,113.87191,118.52285,110.66834
1990-05-06,80.8483333488894,90.0238160767602,113.832724968421,106.416925777518,80.96558,91.57781,86.77579,94.79634,125.24678,113.78107,118.21024,110.53485
1990-05-07,81.0739092559619,90.1485334738321,113.255455122504,106.111354060373,81.19242,91.71669,87.17003,95.02308,124.93939,113.65376,117.71593,110.3162
1990-05-08,81.3747099702594,90.3153499262288,112.052471216508,105.430563892194,81.4946,91.89798,87.91664,95.4414,124.51757,113.4742,116.74932,109.87567
1990-05-09,80.3398215961775,89.7388981457333,110.573850494746,104.283740856081,80.45913,91.3248,88.34001,95.68262,126.14135,114.22636,116.22895,109.64311
1990-05-10,80.5842874520914,89.8745423484103,109.877221847552,103.903271147762,80.70489,91.47476,88.82131,95.95477,125.79946,114.08384,115.63758,109.37654
1990-05-11,83.7961765898485,91.6636406367589,104.294484418014,101.078553553842,83.92252,93.30881,93.04413,98.24731,120.82363,111.83994,110.17928,106.80751
1990-05-12,84.8640453338889,92.2449200359565,103.942833577043,101.069880497955,84.99297,93.91471,93.66653,98.58774,119.32196,111.15702,109.48181,106.48149
1990-05-13,85.6734421378305,92.6823944924164,103.563476335699,100.988604357089,85.80458,94.37395,94.21154,98.88643,118.22208,110.65673,108.88422,106.20291
1990-05-14,86.134673184581,92.9300940167774,103.470506685961,101.022919546985,86.26751,94.63948,94.45786,99.02764,117.62464,110.3891,108.63938,106.09554
1990-05-15,86.3505419545581,93.0453614744405,104.079780952444,101.466032783373,86.48471,94.76963,94.18863,98.89857,117.36973,110.28151,108.9893,106.27852
1990-05-16,85.6338347149124,92.6571121919421,103.952524285701,101.246952657239,85.76789,94.38788,94.02335,98.82274,118.38258,110.76933,109.21618,106.4001
1990-05-17,85.9060560310683,92.8031358485989,103.765567914047,101.183532960978,86.04153,94.54936,94.25695,98.95735,118.04592,110.62381,108.98438,106.29914
1990-05-18,86.1268920700484,92.9211686303507,103.81326499056,101.262210686005,86.26371,94.6824,94.33029,99.00773,117.78215,110.51219,108.9393,106.28913
1990-05-19,86.6761113276403,93.2157216232039,103.372958670796,101.087726970514,86.8148,94.99578,94.81817,99.27566,117.06971,110.18993,108.41509,106.04537
1990-05-20,87.5328258654077,93.6743093320359,102.670408828883,100.800387312272,87.67389,95.47685,95.58,99.68641,115.95018,109.67503,107.58257,105.65014
1990-05-21,88.5211685024389,94.2003505357498,102.473102655354,100.864774804734,88.66484,96.02754,96.08128,99.95981,114.67809,109.08535,107.05719,105.4041
1990-05-22,89.7088448216243,94.828820554235,102.848752464035,101.340379030483,89.85547,96.6835,96.29547,100.08323,113.17611,108.38291,106.85745,105.31764
